feature_index,feature_name,component,feature_type,importance
79,cxy_11,11,off_diagonal,0.0002287027
2191,w_313,313,weight,0.0002278848
203,w_29,29,weight,0.00022772676
1316,w_188,188,weight,0.0002275738
3074,cxx_439,439,diagonal,0.00022657591
1926,cxx_275,275,diagonal,0.00022650056
3028,cyy_432,432,diagonal,0.00022573723
875,w_125,125,weight,0.00022521988
140,w_20,20,weight,0.000224948
1887,cyy_269,269,diagonal,0.00022412436
52,cxz_7,7,off_diagonal,0.00022322127
1319,cxz_188,188,off_diagonal,0.00022281482
892,cxz_127,127,off_diagonal,0.00022187708
3165,cxx_452,452,diagonal,0.00022162271
1100,cxx_157,157,diagonal,0.00022028392
1374,cxy_196,196,off_diagonal,0.00021983529
1974,w_282,282,weight,0.00021930462
2652,czz_378,378,diagonal,0.00021902745
3185,w_455,455,weight,0.00021833164
2029,czz_289,289,diagonal,0.00021619334
3381,w_483,483,weight,0.00021535308
2484,czz_354,354,diagonal,0.00021305568
2730,w_390,390,weight,0.00021288497
3451,w_493,493,weight,0.00020989985
136,cxz_19,19,off_diagonal,0.00020926323
3108,w_444,444,weight,0.0002091243
2708,czz_386,386,diagonal,0.00020850576
1215,cyy_173,173,diagonal,0.00020846713
2181,cyy_311,311,diagonal,0.00020832336
2496,cyy_356,356,diagonal,0.00020802791
1732,cxz_247,247,off_diagonal,0.0002077136
167,czz_23,23,diagonal,0.00020738113
2474,cxz_353,353,off_diagonal,0.0002052796
1823,cxz_260,260,off_diagonal,0.00020495476
97,czz_13,13,diagonal,0.00020494341
2807,w_401,401,weight,0.00020493644
837,cyy_119,119,diagonal,0.00020296883
2269,cxx_324,324,diagonal,0.00020229237
1631,w_233,233,weight,0.00020225465
1553,czz_221,221,diagonal,0.00020199583
590,cxy_84,84,off_diagonal,0.00020184995
2838,cxz_405,405,off_diagonal,0.00020145212
39,cyy_5,5,diagonal,0.00020087758
2397,cxz_342,342,off_diagonal,0.00020082171
2288,czz_326,326,diagonal,0.00020054584
388,cxz_55,55,off_diagonal,0.0002000586
1135,cxx_162,162,diagonal,0.00019994102
3252,cyy_464,464,diagonal,0.00019988256
1675,cxy_239,239,off_diagonal,0.00019914721
2578,cxy_368,368,off_diagonal,0.00019787885
2340,cxy_334,334,off_diagonal,0.00019746082
1384,cyz_197,197,off_diagonal,0.00019560962
1323,w_189,189,weight,0.00019554334
1696,cxy_242,242,off_diagonal,0.00019536477
2086,w_298,298,weight,0.00019518386
3035,cyy_433,433,diagonal,0.00019449381
3478,czz_496,496,diagonal,0.00019428224
763,w_109,109,weight,0.000194235
2683,cxy_383,383,off_diagonal,0.00019421034
3254,czz_464,464,diagonal,0.00019387931
519,cxx_74,74,diagonal,0.00019342657
623,w_89,89,weight,0.00019152164
525,w_75,75,weight,0.0001911686
576,cxy_82,82,off_diagonal,0.00019102149
588,w_84,84,weight,0.00019078901
2265,cyy_323,323,diagonal,0.00019057003
3257,cxy_465,465,off_diagonal,0.00019035526
2409,cxx_344,344,diagonal,0.00019004427
