feature_index,feature_name,component,feature_type,coefficient,abs_coefficient,nonzero
2315,cyz_330,330,off_diagonal,0.0,0.0,False
2297,cxx_328,328,diagonal,0.0,0.0,False
2298,cxy_328,328,off_diagonal,0.0,0.0,False
2299,cxz_328,328,off_diagonal,0.0,0.0,False
2301,cyz_328,328,off_diagonal,-0.0,0.0,False
2302,czz_328,328,diagonal,-0.0,0.0,False
2303,w_329,329,weight,-0.0,0.0,False
2304,cxx_329,329,diagonal,-0.0,0.0,False
2305,cxy_329,329,off_diagonal,0.0,0.0,False
2306,cxz_329,329,off_diagonal,0.0,0.0,False
2307,cyy_329,329,diagonal,-0.0,0.0,False
2308,cyz_329,329,off_diagonal,0.0,0.0,False
2309,czz_329,329,diagonal,-0.0,0.0,False
2310,w_330,330,weight,0.0,0.0,False
2311,cxx_330,330,diagonal,-0.0,0.0,False
2312,cxy_330,330,off_diagonal,-0.0,0.0,False
2313,cxz_330,330,off_diagonal,-0.0,0.0,False
2314,cyy_330,330,diagonal,0.0,0.0,False
